headword,pos,supplement,entry,meaning,ipa,word_id,example_sentence,translated_sentence,sentence_id
,,,accountant,"〈C〉会計係, 会計士, 計理士",/əˈkaʊntənt/,312,The accountant made a misstatement in the financial report.,会計士は財務報告書で誤った陳述をしました。,1658365
,,,conspiracy,"〈U/C〉陰謀,たくらみ / 〈C〉陰謀団",/kənˈspɪrəsi/,9102,There is a conspiracy to overthrow the government.,政府を転覆させるための陰謀がある。,3009824
,,,delegation,"〈U〉代表派遣,代表任命  / 〈C〉《集合的に》代表団,派遣団",/dɛlɪˈɡeɪʃən/,11221,The delegation was sent to represent our company at the conference.,代表派遣のため、私たちの会社から代表団が会議に派遣されました。,2997422
,,,rigorous,"(法などが) 厳格な / 厳密な, 正確な / (状態・気候などが)厳しい,過酷な",/rɪˈɡɔːrəs/,36196,He has a rigorous study schedule.,彼は厳格な勉強スケジュールを持っています。,3003890
,,,tribunal,"〈C〉裁判所,法廷,裁決機関 / 裁き",/ˌtrɪˈbjuːnəl/,44201,The tribunal will make a final decision on the case.,裁判所はこの事件について最終的な判断を下します。,1648950
,,,defective,"【形】欠点のある, 欠陥のある / 《...が》欠けている《in ...》",/dɪˈfɛktɪv/,11113,The company issued a recall for the defective product.,会社は欠点のある製品のリコールを発表しました。,1634946
,,,petition,"【名/C】(正式の)請願書, 陳情書 / 請願, 陳情 / 【動/他】に請願する / 【動/自】《...を》 請願する 《for ...》",/pəˈtɪʃən/,31515,I signed a petition to save the endangered species.,絶滅の危機に瀕した種を救うために請願に署名しました。,3002691
,,,constituency,"〈C〉選挙区 / 〈U〉(選挙区の)有権者 / 支持者, 支援団体",/kənˈstɪtʃuənsi/,9117,The constituency is divided into several districts.,選挙区はいくつかの地区に分割されています。,3009825
,,,volatile,揮発性の / 気まぐれの / 不安定な / 短気な,/vɑlˈaɪtəl/,46425,He has a volatile temper.,彼は気性が荒いです。,1628840
,,,earthquake,地震,/ˈɜrθkweɪk/,13319,The earthquake shook the entire city.,地震が街全体を揺らした。,2997982
,,,incremental,【形】定期的に増加する；徐々に増加する；増加の；増分の,/ˌɪŋ.krəˈmɛn.təl/,21504,The company implemented an incremental approach to improve its production efficiency.,会社は生産効率を向上させるために段階的な手法を導入しました。,1628996
,,,maneuver,"【名/C】(軍隊・艦隊などの) 作戦行動  / 巧妙な手, 策略 / (高度な技術が必要な) 操縦, 操作 / 【動/他】〈軍隊・艦隊・兵など〉を動かす  / を巧みに扱う / 【動/自】作戦行動を取る / 《...に対して》計略を用いる《for ...》",/məˈnuːvər/,25731,The pilot performed a complex maneuver during the airshow.,パイロットはエアショー中に複雑な操縦を行いました。,1628954
,,,thorough,"完全な,完ぺきな / （仕事などが）徹底的な",/ˈθʌrə/,43180,He conducted a thorough investigation into the matter.,彼はその問題について徹底的な調査を行った。,3005728
,,,empower,【動/他】〈人など〉に《…する》能力(権限)を付与する《... to do》,/ɪmˈpaʊər/,13866,The new legislation will empower women to fight for their rights.,新しい法律は、女性が自分たちの権利のために闘う力を与えてくれるでしょう。,1017678
,,,woe,"〈U〉深い悲しみ, 悲哀 / 〈C〉《複数形で》災難,苦難",/wəʊ/,47691,She was filled with woe after the loss of her loved one.,彼女は愛する人を失った後、悲しみに満ちていました。,3006806
,,,exempt,《義務などから》を免れさせる《from》,/ɪɡˈzɛmpt/,14729,She was exempted from paying taxes due to her low income.,彼女は低所得のために税金を免除されました。,2998342
,,,inequality,"〈U/C〉等しくないこと, 不平等 / 〈C〉《複数形で》でこぼこ / 〈U〉不等 / 〈C〉不等式",/ɪnɪˈkwɒlɪti/,21725,There is a growing inequality between the rich and the poor in our society.,私たちの社会では、富裕層と貧困層の間で格差が広がっています。,3000158
,,,feasible,"実現可能な, 実行可能な / うまくいきそうな,見込みのある",/'fiːzəbəl/,15384,The proposed plan is feasible and can be implemented within the given timeframe.,提案された計画は実現可能であり、与えられた時間枠内で実施することができます。,2998540
,,,litigation,訴訟,/lɪtəˈɡeɪʃən/,24733,The company is currently involved in a litigation case.,同社は現在、訴訟事件に巻き込まれている。,1637249
,,,omit,"【動/他】《...から》...を省略する, を省く《from ...》",/əˈmɪt/,29525,I accidentally omitted a word from the sentence.,私は誤って文から単語を省略しました。,3002190
,,,proportional,"比例の, 比例による / 《...と》比例した《to ...》 / 《...に》釣り合った《to ...》",/prəˈpoʊrʃənəl/,33704,The amount of time spent on a task is directly proportional to the complexity of the task.,タスクに費やす時間は、そのタスクの複雑さに比例しています。,1649761
,,,purchaser,"〈C〉買い手, 購入者",/ˈpɜːrtʃəsər/,34126,The purchaser bought a new car.,購入者は新しい車を買いました。,1634962
,,,soar,"〈ワシなどが〉空高く飛ぶ, 舞い上がる / 〈山などが〉そびえ立つ / 〈物価などが〉急に上る / 〈希望・元気・想像力などが〉高まる",/sɔːr/,39718,The eagle soared high in the sky.,ワシは空高く舞い上がった。,3004755
,,,citation,"〈U〉(事実などの)引用,挙例《of ...》 / 〈C〉引用文",/saɪˈteɪʃən/,7659,The professor included a citation in his research paper.,教授は研究論文に引用を含めました。,1629339
,,,creditor,"〈C〉債権者, 貸し主",/ˈkɹɛdɪtəɹ/,10016,The creditor demanded immediate payment of the debt.,債権者は債務の即時支払いを要求した。,1649760
,,,depict,"(絵・言葉などで)…‘を'描き表す,描写する",/dɪˈpɪkt/,11430,The artist used vibrant colors to depict the beauty of nature.,芸術家は鮮やかな色を使って自然の美しさを描き表しました。,2997476
,,,openly,"公然と, あからさまに / 率直に, 包み隠さず",/ˈoʊpənli/,29638,He openly expressed his opinion.,彼は公然と意見を表明した。,3002215
,,,suburb,"〈C〉(都市の近くの住宅地区としての) 郊外,近郊 / 《the ~s》《集合的に》(中心街に対して都市の) 郊外住宅地",/səˈbɜːrb/,41591,I live in a quiet suburb.,私は静かな郊外に住んでいます。,3005251
,,,dismissal,"解散,退去  / (…からの)解雇,免職,放免《+from+名》  / (考えなどの)放棄  / 却下,棄却",/dɪsˈmɪsəl/,12249,The company announced the dismissal of several employees.,会社は数人の従業員の解雇を発表しました。,2997698
,,,consolidate,"統合する / (組織など)を固める / を一つにする,を統合する",/kənˈsɒlɪdeɪt/,9090,The company plans to consolidate its operations in order to improve efficiency.,会社は効率を改善するために業務を統合する予定です。,3009818
,,,precious,"貴重な,いとしい,気取った",/'prɛʃəs/,33012,This necklace is made of precious gemstones.,このネックレスは貴重な宝石で作られています。,3003045
,,,asylum,"〈C〉(孤児・盲人・狂人などの) 保護収容所,養育院 / 〈U〉避難, 保護, 亡命",/əˈsaɪləm/,2480,The government has decided to build a new asylum for the homeless.,政府はホームレスのための新しい保護収容所を建設することを決定しました。,2996315
,,,sovereignty,"【名/U】主権,統治権；【C】独立国,主権国家.",/sɒvərɪnti/,40091,The country fought for its sovereignty and independence.,その国は主権と独立を求めて戦った。,3004889
,,,insurgency,"〈U/C〉暴動,反乱",/ɪnˈsɜːrdʒənsi/,48416,The government is struggling to control the insurgency in the region.,政府はその地域の反乱を制御するのに苦労しています。,1629225
,,,severely,"厳しく,ひどく,重く",/sɪˈvɪərli/,38301,The storm severely damaged the house.,暴風雨で家は大きな被害を受けた。,3004389
,,,electorate,"【名/C】(選挙区･国全体の)有権者,選挙民",/ɪˈlɛktərət/,13605,The electorate will have the opportunity to vote in the upcoming election.,選挙民は今度の選挙で投票する機会があります。,1662174
,,,cautious,"注意深い,用心深い,慎重な",/ˈkɔːʃəs/,6712,She is always cautious when crossing the road.,彼女は道路を渡る時にいつも注意深いです。,2996948
,,,counterpart,"〈C〉対応する物（人) , 対になるもの, 相手方 / よく似た物（人） / 副本,写し",/ˈkaʊntərpɑrt/,9731,you are counterpart of a member　of class of mine.,あなたは私のクラスのメンバーの一員です。,1628006
,,,actively,"活発に, 積極的に",/ˈæk.tɪv.li/,440,She is actively participating in the community service.,彼女は積極的に地域奉仕活動に参加しています。,2995739
,,,quota,〈C〉(生産・分配などの個々への)割当 / 分け前 / 割当て（額）/ (移民・学生などの) 定員,/'kwəʊ.tə/,34482,She exceeded her sales quota for the month.,彼女は今月の売り上げ目標を超えました。,3003376
,,,arbitration,"仲裁,裁定;仲裁裁判",/ˌɑːr.bɪˈtreɪ.ʃən/,2053,The dispute was finally resolved through arbitration.,その紛争は最終的に仲裁を通じて解決されました。,2996195
,,,horror,〈U〉恐怖 / 《a~》《…の》嫌悪《of ...》 / 《...の》恐ろしさ《of ...》 / 〈C〉ゾッとさせるもの / 《話》実にひどいもの,/ˈhɒrər/,20369,I love watching horror movies.,私はホラー映画を見るのが好きです。,2999813
,,,prosecution,"【名/U/C】起訴, 告訴 / 《the ~ 》 起訴者側, 検察当局",/prəˌsɛˈkjuːʃən/,33732,The prosecution presented strong evidence against the defendant.,検察は被告に対して強力な証拠を提示した。,3003247
,,,imminent,(危険・あらしなどが) 差し迫った,/ˈɪmɪnənt/,21103,The storm is imminent.,嵐が差し迫っている。,3000000
,,,notably,"著しく,際立って / 特に, とりわけ / 特筆すべきことに, 注目すべきことに",/ˈnoʊtəbli/,28926,"Notably, the renowned scientist made a groundbreaking discovery in the field of physics.",注目すべきことに、この有名な科学者は物理学の分野で画期的な発見をしました。,1627621
,,,shortfall,不足額(量),/ˈʃɔrtfɔl/,38686,There was a shortfall in the budget for the project.,プロジェクトの予算に不足額がありました。,3004502
,,,rose,〈C〉バラの花 / バラの木 / 〈U〉バラ色,/ɹoʊz/,36487,I bought a rose for her.,彼女のためにバラを買った。,1624455
,,,super,"《くだけて》素晴らしい, 最高の",/suːpər/,41808,He is doing a super job.,彼は素晴らしい仕事をしている。,44677
,,,spill,"〈他〉〈液体・粉など〉をこぼす  / 〈自〉〈液体・粉などが〉こぼれる / 【名/C】こぼれること, こぼすこと / こぼれたもの",/spɪl/,40314,Be careful not to spill your drink.,飲み物をこぼさないように気をつけてください。,3005003
,,,con,"【前】反対して / 【名/C】反対投票, 反対論",/kɒn/,8751,I have a different opinion on this matter.,この件について私は異なる意見を持っています。,3009735
,,,con,【動/他】〈人〉をペテンにかける / 【名/C】信用詐欺 / 《a ~ man》詐欺師,/kɒn/,8753,I am constantly learning new things.,私は常に新しいことを学んでいます。,1637262
,,,meantime,【副】その間に / その同じ時に / 一方では / 【名】《the ~》合間,/miːn.taɪm/,26236,"In the meantime, I will finish my work.",その間に、私は仕事を終わらせます。,3001306
,,,unity,"〈U〉単一性,統一性, まとまり / 〈C〉単一体, 統一体 / 〈U/C〉(古典劇構成での)一致 / 〈U〉《...との》 協調, 調和, 融和 《with ...》",/juːˈnɪti/,45264,Unity is important for a team to succeed.,チームが成功するためには団結が重要だ。,3006217
,,,toll,"〈C〉(橋・道路などの)使用料金, 通行料金 / (長距離電話などの) 料金, サービス料 / 《通例単数形で》(災難などの)被害の程度, 犠牲者数",/təʊl/,43610,The toll for using the highway was surprisingly high.,高速道路の使用料金が驚くほど高かった。,6510304
,,,halt,"【名/C】《a~》停止, 休止 / 《英》停車場, バス停 / 【動/自】停止する, 休止する / 【動/他】…を停止(休止)させる",/hɔlt/,19089,The construction work came to a halt due to the heavy rain.,大雨のため、工事が停止しました。,2999455
,,,intent,"(目・心など) 一心に向けた, 熱心な／意図、考え",/ɪnˈtɛnt/,22202,She was intent on her book.,彼女は本に夢中になっていた。,12514
,,,mill,"〈C〉製粉所 / 製粉機, (手動の)ひき器 / 製造所, 工場",/mɪl/,26844,The old mill by the river has been converted into a charming restaurant.,川のそばの古い製粉所は、魅力的なレストランに改装されました。,3001467
,,,nomination,"〈U〉指名, 任命 / 指名権, 任命権 / 《...を...に》 指名すること, 任命すること 《of ... to, as, for ...》",/nɑmɪˈneɪʃən/,28751,Her nomination for the award was well-deserved.,彼女の受賞のノミネートは当然だった。,3001966
,,,parameter,【名/C】パラメーター / (数学で)媒介変数 / 【名/U】(統計で)母数,/pəˈræmətər/,30597,The function takes a parameter and returns a value.,関数はパラメータを受け取り、値を返します。,3002481
,,,tier,"【名/C】(ひな段式になった段々の)一段,一列, 座席 / 階層 /【動/他】…を段段に積む, を重ねる",/tɪər/,43364,She is at the top tier of her profession.,彼女は自分の職業ではトップクラスです。,1649772
,,,behalf,味方 / 利益 / 《on ~ of A》 Aの代理で,/bɪˈhɑːf/,3736,I am speaking on behalf of my friend.,私は友人の味方として話しています。,2996643
,,,brutal,"けものの;けもののような;残酷な,野蛮な",/ˈbruːtəl/,5407,I heard summer in Japan is really brutal.,日本の夏は本当に過酷だと聞いている。,1637268
,,,bullet,"弾丸,銃弾,小銃弾",/'bʊlɪt/,5531,He dodged the bullet just in time.,彼はギリギリで弾丸を避けた。,3009092
,,,precision,"【名/U】正確さ, 精度 / 【形】(計器などが)精密な",/prɪˈsɪʒən/,33024,The precision of the measurements was crucial for the experiment.,測定の精度は実験にとって重要でした。,3003051
,,,cheaply,=cheap{副},/tʃiːpliː/,7146,I bought this shirt cheaply at the thrift store.,私はこのシャツをリサイクルショップで安く買いました。,3009355
,,,prosecutor,〈C〉検察官 / 訴追者,/prəˈsɛkjətər/,33733,The prosecutor presented compelling evidence during the trial.,検察官は裁判中に説得力のある証拠を示した。,1628619
,,,protocol,"〈U〉外交儀礼  / 〈C〉条約の原案,議定書",/'proʊtəˌkɔl/,33781,The protocol for diplomatic meetings is to exchange formal greetings and engage in discussions.,外交会議のプロトコルは、正式な挨拶を交換し、議論に参加することです。,3003261
,,,supermarket,スーパーマーケット(食料品や家庭用品などを売るセルフサービス式の大型小売店),/suːpərˌmɑːrkɪt/,41851,I went to the supermarket to buy some food.,私は食べ物を買うためにスーパーマーケットに行きました。,1623842
,,,provincial,"《名詞の前にのみ用いて》地方の,いなかの;州の,省の,県の  / 地方特有の;いなかめいた  / 偏狭な  / 地方人,いなか者・管区長",/prəˈvɪnʃəl/,33818,She moved to a provincial town to escape the hustle and bustle of the city.,彼女は都会の喧騒を逃れるために地方の町に引っ越しました。,3003275
,,,salespeople,"【名/C】店員,販売員,外交員《複数》",/seɪlzˈpipəl/,48373,Salespeople play a crucial role in driving revenue for the company.,営業担当者は、会社の収益を牽引する重要な役割を果たしています。,1657576
,,,website,"〈C〉ウェブサイト,ホームページ",/ˈwɛb.saɪt/,48379,I found a great website for learning languages.,言語学習のための素晴らしいウェブサイトを見つけました。,3007029
,,,breach,"(法律・約束・道徳・義務などを)破ること,破棄,違反,不履行《+of+名》  / (…の)違犯,侵害,妨害(violation)《+of+名》  / (…との)仲たがい,絶交,断絶《+with+名》  / 裂け目…(城壁・とりでなどの)突破口  / 〈城壁・とりでなど〉'を'突破する,‘に'突破口を作る",/briːtʃ/,5119,He was accused of breaching the contract.,彼は契約を破ったと非難された。,3008985
,,,clash,"(物がぶつかり合う)ガチャン)ガシャン,ジャーン)という音  / (…間の)(意見・利害などの)衝突,抗争《+between+名》  / ガチャン)ガシャン)と音を立てる;(…に)ガチャンとぶつかる《+to(against, into)+名》  / (…と)合わない,調和しない《+with+名(doing)》  / (競技・戦闘で)(…ど)相打つ,激突する《+with+名》  / …'を'ガチャン(ジャン)とぶつける",/klæʃ/,7762,The two cars clashed loudly.,2台の車がガチャンと大きな音を立ててぶつかり合った。,3009522
,,,gang,"(人の)一団,群れ《+of+名》  / (悪人の)一味,ギャング団《+of+名》  / 《話》親しい仲間,遊び仲間  / 《米》(特に他のグループと争う青少年の)非行グループ",/ɡæŋ/,17465,The gang gathered in the alleyway.,一団は路地裏に集まった。,2999041
,,,punishment,"〈U〉罰を[を受けること]  / 〈C〉処罰,刑罰  / 〈U〉ひどい仕打ち,虐待",/pʌnɪʃmənt/,34095,He received a severe punishment for his actions.,彼は自分の行動のために厳しい罰を受けた。,3003354
,,,classroom,"クラスルーム,教室",/ˈklɑːs.ruːm/,7782,I am in the classroom.,私は教室にいる。,1624088
,,,readily,"快く, 進んで([[willingly]]) / 容易に, やすやすと([[easily]])",/ˈrɛdɪli/,34947,She readily agreed to help me with my project.,彼女は快く私のプロジェクトを手伝うことに同意しました。,3003512
,,,communism,共産主義,/kɑˈmjuːnɪzəm/,8591,Communism is an ideology that advocates for the collective ownership of resources and the absence of social classes.,共産主義は資源の共有と社会階級の存在しないことを主張するイデオロギーです。,3009678
,,,rejection,"〈U〉〈C〉断ること,拒絶;却下  / 〈C〉廃棄物",/rɪˈdʒɛkʃən/,35460,I faced rejection when I applied for the job.,私はその仕事に応募した時に断られました。,1652024
,,,confrontation,"〈U〉《…との》対決,対面,直面《with》",/kɒnfrʌnˈteɪʃən/,8937,There was a confrontation between the two rival gangs.,二つのライバルギャングの間で対立がありました。,1640004
,,,considerably,"かなり,相当に,非常に",/kənˈsɪdərəbli/,9068,The price of the car has increased considerably.,車の価格はかなり上がりました。,2997017
,,,correctly,"正しく,正確に;正確に言えば",/kəˈrɛktli/,9551,Please answer the question correctly.,質問に正しく答えてください。,3009924
,,,ultimate,"最後の, 究極の / 最大限の / 根本的な /  最も遠い / （the ~）究極のもの",/ˈʌltɪmət/,44768,He reached the ultimate level of success.,彼は成功の最後のレベルに到達した。,3006099
,,,rhetoric,修辞学;演説法  / 美辞麗句で飾った言葉,/rɛtərɪk/,36055,She studied rhetoric in college.,彼女は大学で修辞学を学んだ。,3003856
,,,sadly,悲しそうに  / ひどく,/'sædli/,36886,She looked sadly at the old photograph.,彼女は古い写真を悲しそうに見つめた。,3004065
,,,defendant,【名】被告【形】被告の,/dɪˈfɛndənt/,11117,The defendant pleaded not guilty to the charges.,被告は罪状を否認しました。,2997394
,,,scenario,"(映画の)シナリオ,台本  / (小説・戯曲の)筋書き",/səˈnɛəri.oʊ/,37364,The screenwriter is working on a new scenario for the movie.,脚本家は映画の新しいシナリオに取り組んでいます。,1646577
,,,deprive,《Aを》...から奪う《... of A》,/dɪˈpraɪv/,11472,The thief tried to deprive me of my wallet.,泥棒は私の財布を奪おうとした。,2997485
,,,seller,"売る人,売り手  / 《good,bad,poorなどの形容詞と共に》売れるもの",/'sɛlər/,38017,The seller offered a discount on the product.,売り手はその商品に割引を提供しました。,3004321
,,,senator,(古代ローマの)元老院議員  / (米国・カナダ・フランスなどの)上院議員,/ˈsɛnətər/,38072,The senator delivered a powerful speech in the parliament.,元老院議員は議会で力強いスピーチを行った。,1646857
,,,shipment,"〈U〉船積み,積み込み,荷送り  / 〈C〉積み荷;積み荷量",/ˈʃɪpmənt/,38563,The shipment arrived at the port on time.,船積みは予定通り港に到着しました。,3004461
,,,dominance,"優越,優勢;支配",/dɑːmɪnəns/,12627,She asserted her dominance over the team by leading them to victory.,彼女はチームを勝利に導くことで優越感を主張しました。,1635178
,,,slim,"(体格などが)ほっそりとした,細い  / (量・程度などが)わずかの,少しの(slight)  / 〈体,体の一部分〉‘を'細くする  / (減食・運動などで)体重を減らしてやせる《+down》",/slɪm/,39379,She has a slim figure.,彼女はほっそりとした体格です。,1647316
,,,slowdown,"速度を落とすこと  / 《米》故意に生産率を落とすこと,怠業(《英》go-slow)",/sləʊdaʊn/,39441,Traffic congestion caused a slowdown on the highway.,高速道路で交通渋滞が発生し、速度が落ちました。,3004693
,,,encyclopedia,百科事典,/ɪnˌsaɪkləˈpiːdiə/,13939,I found a lot of interesting information in the encyclopedia.,私は百科事典でたくさんの興味深い情報を見つけました。,2998140
,,,enhancement,"高揚,増進",/ɪnˈhænsmənt/,14039,The new software update brings several enhancements to the system.,新しいソフトウェアのアップデートにより、システムにいくつかの改善がもたらされます。,1640965
,,,entity,"実在するもの,実体",/ˈɛn.tə.ti/,14125,The Loch Ness Monster is a famous mythical entity.,ネッシーは有名な神話上の存在です。,2998187
,,,ex,前の；前…；外へ；完全に,/ɛks/,14605,I need to exfoliate my skin before applying makeup.,メイクをする前に、肌の角質を取り除く必要があります。,2998301
,,,explicit,明白に述べた,/ɪkˈsplɪsɪt/,14844,He made his intentions explicit.,彼は自分の意図を明白に述べた。,1656767
,,,pill,"丸薬;《the pill》《話》ピル(経口避妊薬)  / (耐えなければならない)不快なこと,苦しいこと  / 《通例単数形で》《俗》いやなやつ",/pɪl/,31890,I take a pill every morning.,私は毎朝丸薬を飲みます。,3002778
,,,stance,"態度,立場  / スタンス(ゴルフ・野球などで打球のときの足の位置)",/stæns/,40711,His stance on the issue is clear.,彼の態度は明確です。,3005030
,,,squeeze,"〈他〉を絞る / 《…から》〈汁・水分など〉を絞り取る《from, out of ...》",/skwiːz/,40585,I squeeze the lemon to get the juice.,私はレモンを絞ってジュースを取ります。,3004956
,,,flexibility,"柔軟性,しなやかさ;適応性,融通性",/flɛksəˈbɪləti/,16122,Flexibility is important in adapting to new situations.,新しい状況に適応するためには柔軟性が重要です。,2998727
,,,surveillance,"(特に容疑者・囚人などの)監視,見張り  / 監督,指揮 ／ 調査、査察",/sərˈveɪləns/,41981,The police have increased surveillance on the suspect.,警察は容疑者の監視を強化しました。,3005359
,,,geographic,"地理の,地理学[上]の",/dʒiəˈɡræfɪk/,17738,Geographic information systems are used to analyze and visualize spatial data.,地理情報システムは、空間データを分析し可視化するために使用されています。,1635714
,,,geographical,"地理の,地理学[上]の",/dʒiəˈɡræfɪkəl/,17739,Geographical factors play a crucial role in determining a country's economic development.,地理的要素は、国の経済発展において重要な役割を果たしています。,2999108
,,,tempt,"〈他〉(無分別・悪事などに)〈人〉を誘惑する, をそそのかす / ...をそそる, ...の気を引く",/tɛmpt/,42806,The sunshine tempted people out.,太陽の日差しに誘われて人々が外出した。,53929
,,,payout,"【名/C】支出金,支払金",/ˈpeɪaʊt/,48428,The company will process the payout within 3 business days.,会社は3営業日以内に支払いを処理します。,1640969
,,,contributor,"【名/C】寄付者；貢献者,寄与者；一助,一因；寄稿家《to》",/kənˈtrɪbjutər/,9264,She is a valuable contributor to the team.,彼女はチームにとって貴重な貢献者です。,1642185
,,,governmental,"政治の,政府の",/ɡʌvərˈmɛntəl/,18292,The governmental policies have a significant impact on the economy.,政府の政策は経済に大きな影響を与えます。,2999248
,,,thumb,親指;(手袋などの)親指の部分,/θʌm/,43280,He sucked his thumb when he was a child.,彼は子供の頃、親指をしゃぶっていました。,3005785
,,,translation,"〈U〉訳すこと,翻訳  / 〈C〉翻訳されたもの",/trænˈsleɪʃən/,44026,Translation is the process of converting text from one language to another.,訳すことは、テキストを一つの言語から別の言語に変換するプロセスです。,3005916
,,,efficiently,"【副】効率的に,能率的に",/ɪˈfɪʃəntli/,48340,He completed the task efficiently.,彼は効率的に仕事を完了した。,3007001
,,,unlimited,"(空間的に)限りない,果てしない(boundless)  / 無制限の,無条件の  / 過度の,非常な(excessive)",/ʌnˈlɪmɪtɪd/,45300,The possibilities are unlimited.,可能性は限りないです。,1649366
,,,hydrogen,水素(化学記号はH),/ˈhaɪdrədʒən/,20743,Hydrogen is the lightest and most abundant element in the universe.,水素は宇宙で最も軽く、最も豊富な元素です。,2999912
,,,icon,"像,肖像;(ギリシア教会の)聖画像",/ˈaɪkɑn/,20905,She is an icon of style and elegance.,彼女はスタイルとエレガンスの象徴です。,1633921
,,,cleric,{名}牧師、聖職者〈C〉  / =clergyman,/ˈklɛrɪk/,7847,The cleric performed a healing ritual on the injured soldier.,聖職者は負傷した兵士に癒しの儀式を行った。,1638548
,,,usage,"〈U〉(物の)用い方, 用法 / 〈U〉〈C〉(言語の)慣用, 語法",/ˈjuːsɪdʒ/,45676,I need help with the usage of this software.,このソフトウェアの使い方について助けが必要です。,3006317
,,,vaccine,"牛痘種,痘苗(牛痘を起こすビールスで,天然痘予防のために人体に接種される)  / (伝染病の病原菌から作った)ワクチン",/væksiːn/,45760,The vaccine is a preventive measure against infectious diseases.,ワクチンは感染症に対する予防策です。,1641778
,,,importantly,より（最も）重要なことには；もったいぶって,/ɪmˈpɔːrtəntli/,21230,"Importantly, she emphasized the need for teamwork in achieving the company's goals.",重要なことには、彼女は会社の目標を達成するためにチームワークの必要性を強調しました。,3000035
,,,vector,"(数学で)ベクトル,方向量  / (ハエ・カなどの)病原媒介昆虫  / (飛行機,ミサイルなどの)脱路,軌道",/'vɛktər/,45921,I learned about vector in my math class.,数学の授業でベクトルについて学びました。,1661593
,,,independently,"独立して,単独で",/ˌɪndɪˈpɛndəntli/,21568,She decided to live independently after graduating from college.,彼女は大学を卒業した後、独立して生活することを決めました。,3000114
,,,visa,"(旅券の)査証,ビザ,入国出国許可",/'viːzə/,46311,I need to apply for a visa to visit Japan.,日本を訪れるためにビザを申請する必要があります。,3006477
,,,insurer,"保険業者,保険会社;保証人",/ɪnˈʃʊərər/,22152,The insurer denied my claim for the car accident.,保険業者は私の自動車事故の請求を拒否しました。,1633946
,,,jointly,"共同して,連帯で",/'d͡ʒɔɪntli/,23019,They worked jointly on the project.,彼らはプロジェクトに共同して取り組んだ。,3000507
,,,wireless,"〈U〉無線,無線電信  / 〈U〉《the wireless》《英》ラジオ[放送,番組];〈C〉ラジオ[受信機]  / 無線[電信,電話,電報]の  / 《英》ラジオの",/'waɪərlɛs/,47608,I love using wireless headphones while working out.,私は運動中に無線ヘッドフォンを使うのが好きです。,1630547
,,,adequately,"適切に,十分に",/ˈædɪkwɪtli/,506,The company adequately addressed the concerns of its customers.,会社は顧客の懸念事項に適切に対応しました。,1639582
,,,kidnap,【動/他】を誘拐する【名/U】誘拐,/kɪdˈnæp/,23351,The police rescued the kidnapped child.,警察は誘拐された子供を救出した。,3000569
,,,worthy,"価値のある,尊敬するべき",/'wɜrði/,47903,She is a worthy candidate for the scholarship.,彼女は奨学金の候補者として価値のある存在です。,3006871
,,,yearly,"年1回の;毎年の  / 1年間の,年間の  / 年1回,毎年",/jɪrli/,48093,I go on a yearly vacation with my family.,私は家族と年に一度の休暇に行きます。,3006931
