headword,pos,supplement,entry,meaning,ipa,word_id,example_sentence,translated_sentence,sentence_id
,,,algebra,代数[学],/ˈæl.dʒɪ.brə/,1061,I am studying algebra for my upcoming math exam.,私はこれからの数学の試験のために代数を勉強しています。,2995933
,,,anthropology,人類学,/ænˈθrɑpəˌlɑdʒi/,1708,I am studying anthropology to understand the evolution of human societies.,人類学を学んで人間社会の進化を理解しています。,2996113
,,,antibody,"抗体,免疫体,抗毒素",/ˈæntɪˌbɒdi/,1720,The human body produces an antibody to fight off the virus.,人間の体はウイルスを撃退するための抗体を生成します。,2996109
,,,liver,"【名/C】肝臓 / 【名/U】(食用にする)動物の肝臓,レバー",/ˈlaɪ.vər/,24776,The liver is responsible for detoxifying the body.,肝臓は体を解毒する役割を担っています。,3000945
,,,pulse,"〈C〉脈拍 / (一般に,規則的な)鼓動,律動 / (電気の)パルス / 豆類【動/自】脈を打つ,鼓動する",/pʌls/,34049,I could feel my pulse racing as I ran the marathon.,私はマラソンを走っている間、鼓動が速まっているのを感じることができました。,3003331
,,,mole,【名/C】ほくろ / あざ,/moʊl/,27313,I have a mole on my cheek.,私の頬にほくろがあります。,3001580
,,,oscillation,"〈U〉振動;〈C〉(振動の)ひと振り  / 〈U〉〈C〉(意見・信念などの)動揺,迷い",/ˌɑːsɪˈleɪʃən/,29856,The pendulum's oscillation was mesmerizing to watch.,振り子の振動は見ていて魅了されるものだった。,1665184
,,,super,"《くだけて》素晴らしい, 最高の",/suːpər/,41808,He is doing a super job.,彼は素晴らしい仕事をしている。,44677
,,,tract,"〈C〉器官系, (器官の)管,(神経の)索 / 広大な土地, 広がり",/trækt/,43891,The farmer had to purchase a new tract of land to expand his farm.,農夫は農場を拡張するために新しい土地を購入しなければなりませんでした。,1626314
,,,temporal,"【形】一時的な,はかない / この世の,現世の / 時の,時間の",/ˈtɛmpərəl/,42799,The temporary employee will start working next week.,臨時社員は来週から働き始めます。,1648480
,,,unity,"〈U〉単一性,統一性, まとまり / 〈C〉単一体, 統一体 / 〈U/C〉(古典劇構成での)一致 / 〈U〉《...との》 協調, 調和, 融和 《with ...》",/juːˈnɪti/,45264,Unity is important for a team to succeed.,チームが成功するためには団結が重要だ。,3006217
,,,paradigm,"範例,規範  / 語形変化表",/pəˈrædɪm/,30575,The shift from traditional teaching methods to online learning is a paradigm shift in education.,従来の教育方法からオンライン学習への移行は教育の範例の転換です。,3002474
,,,parameter,【名/C】パラメーター / (数学で)媒介変数 / 【名/U】(統計で)母数,/pəˈræmətər/,30597,The function takes a parameter and returns a value.,関数はパラメータを受け取り、値を返します。,3002481
,,,parental,"親の,親としての,親にふさわしい  / 親のような",/pəˈrɛn.təl/,30639,My parental instincts kicked in when I saw the child in danger.,子供が危険にさらされているのを見た時、親の本能が働きました。,3002493
,,,biology,生物学,/baɪˈɑlədʒi/,4154,I am studying biology to understand the complexity of life.,私は生命の複雑さを理解するために生物学を勉強しています。,2996750
,,,pest,害虫  / 《話》やっかい者  / 《まれ》ペスト,/pɛst/,31489,The garden was infested with pests.,庭には害虫が大量発生していました。,1660933
,,,phenomenal,"自然現象の(に関する)  / 並みはずれた,驚異的な  / 知覚できる",/fɪˈnɒmɪnəl/,31596,The Northern Lights are a phenomenal natural phenomenon.,オーロラは驚くべき自然現象です。,3002715
,,,philosopher,哲学者;賢人  / 困難にも冷静(沈着)な人,/fɪˈlɒsəfər/,31627,The philosopher pondered the meaning of life.,哲学者は人生の意味を考えた。,3002725
,,,photographic,"写真の,写真用の  / (写真のように)正確な,精密な",/fəˌtɒɡrəˈfɪk/,31698,She has a passion for photographic art.,彼女は写真の芸術に情熱を持っています。,1665187
,,,bullet,"弾丸,銃弾,小銃弾",/'bʊlɪt/,5531,He dodged the bullet just in time.,彼はギリギリで弾丸を避けた。,3009092
,,,pragmatic,実際的な実用的な  / 実用主義の,/præɡˈmætɪk/,32949,She always takes a pragmatic approach to problem-solving.,彼女は常に問題解決に実際的なアプローチを取ります。,3003027
,,,primitive,"原始の,太古の  / 原始的な,そぼくな;古風な,旧式な",/prɪˈmɪtɪv/,33362,Primitive societies relied on hunting and gathering for survival.,原始社会は生存のために狩猟と採集に頼っていました。,3003143
,,,chess,"チェス,西洋将棋",/tʃɛs/,7219,I enjoy playing chess with my friends on the weekends.,週末に友達とチェスを楽しんでいます。,2996955
,,,protocol,"〈U〉外交儀礼  / 〈C〉条約の原案,議定書",/'proʊtəˌkɔl/,33781,The protocol for diplomatic meetings is to exchange formal greetings and engage in discussions.,外交会議のプロトコルは、正式な挨拶を交換し、議論に参加することです。,3003261
,,,chromosome,染色体,/ˈkroʊməsoʊm/,7502,The chromosome is the structure that carries genetic information in cells.,染色体は細胞内で遺伝情報を運ぶ構造です。,1657521
,,,punishment,"〈U〉罰を[を受けること]  / 〈C〉処罰,刑罰  / 〈U〉ひどい仕打ち,虐待",/pʌnɪʃmənt/,34095,He received a severe punishment for his actions.,彼は自分の行動のために厳しい罰を受けた。,3003354
,,,classroom,"クラスルーム,教室",/ˈklɑːs.ruːm/,7782,I am in the classroom.,私は教室にいる。,1624088
,,,readily,"快く, 進んで([[willingly]]) / 容易に, やすやすと([[easily]])",/ˈrɛdɪli/,34947,She readily agreed to help me with my project.,彼女は快く私のプロジェクトを手伝うことに同意しました。,3003512
,,,receptor,=sense organ  / 受信装置,/rɪˈsɛptər/,35076,The taste receptor on my tongue helps me distinguish between sweet and sour flavors.,私の舌の味覚受容体は、甘い味と酸っぱい味を区別するのに役立ちます。,3003548
,,,rejection,"〈U〉〈C〉断ること,拒絶;却下  / 〈C〉廃棄物",/rɪˈdʒɛkʃən/,35460,I faced rejection when I applied for the job.,私はその仕事に応募した時に断られました。,1652024
,,,bleed,"出血する,血を流す;血を流して死ぬ  / (切り口などから)〈植物が〉樹液を出す  / (…に)血の出るような思いをする《+for+名》  / 〈絵具・染料などが〉にじむ  / (病気の治療として)〈患者〉‘から'血をとる,放血させる  / (切口・開口部から)〈血・樹液など〉'を'出す  / …‘から'液体(ガス)を抜きとる;(液体・ガスなどを)…‘から'抜きとる《+名+of+名》  / 《話》…‘から'金をしぼり取る",/bliːd/,4374,I cut my finger and it started to bleed.,私は指を切って出血し始めました。,2996802
,,,coronary,冠状動脈の  / 心臓の  / 冠状動脈血栓(けっせん)症(coronary thrombosis),/kɔːˈrɒnəri/,9522,Coronary artery disease is a common condition that affects the heart.,冠状動脈疾患は心臓に影響を与える一般的な状態です。,1660939
,,,correctly,"正しく,正確に;正確に言えば",/kəˈrɛktli/,9551,Please answer the question correctly.,質問に正しく答えてください。,3009924
,,,ultimate,"最後の, 究極の / 最大限の / 根本的な /  最も遠い / （the ~）究極のもの",/ˈʌltɪmət/,44768,He reached the ultimate level of success.,彼は成功の最後のレベルに到達した。,3006099
,,,rhetoric,修辞学;演説法  / 美辞麗句で飾った言葉,/rɛtərɪk/,36055,She studied rhetoric in college.,彼女は大学で修辞学を学んだ。,3003856
,,,rhythm,"〈U〉律動,リズム;韻律  / 〈C〉(特定の)リズム",/'rɪðəm/,36085,The music had a catchy rhythm that made everyone want to dance.,その音楽はキャッチーなリズムがあり、みんなが踊りたくなった。,1646090
,,,cyclic,"周期的な,循環する",/'saɪklɪk/,10536,The moon goes through a cyclic pattern of phases.,月は周期的な位相のパターンを経る。,1640075
,,,scenario,"(映画の)シナリオ,台本  / (小説・戯曲の)筋書き",/səˈnɛəri.oʊ/,37364,The screenwriter is working on a new scenario for the movie.,脚本家は映画の新しいシナリオに取り組んでいます。,1646577
,,,dictionary,"辞書,辞典,字引き",/dɪkʃəˈnɛri/,11814,I bought a new dictionary yesterday.,昨日新しい辞書を買った。,1624155
,,,sexuality,"(両性の)性的特質  / 性欲,性的関心",/sɛkʃuˈæləti/,38333,Sexuality is a complex and diverse aspect of human nature.,性的特質は人間の複雑で多様な側面です。,1646958
,,,shallow,"浅い  / 浅薄な,表面的な",/ˈʃæloʊ/,38390,The water in the pond is shallow.,池の水は浅いです。,3004419
,,,dominance,"優越,優勢;支配",/dɑːmɪnəns/,12627,She asserted her dominance over the team by leading them to victory.,彼女はチームを勝利に導くことで優越感を主張しました。,1635178
,,,similarity,"〈U〉類似,相似 / 〈C〉類似点",/sɪmɪˈlærəti/,38973,There is some similarity in the way they sing.,彼らの歌い方にはいくつかの類似点がある。,1017200
,,,singular,"非凡な,目ざましい  / 奇妙な,変わった  / (文法で)単数の  /",/ˈsɪŋɡjələr/,39048,He has a singular talent for playing the piano.,彼はピアノを演奏する非凡な才能を持っています。,3004604
,,,socially,"社会的に,社会によって / 社交上, 社交的に / 親しく, 打ち解けて",/ˈsoʊʃəli/,39752,She is socially active and enjoys attending various events.,彼女は社会的に活発で、さまざまなイベントに参加するのが好きです。,1658795
,,,entity,"実在するもの,実体",/ˈɛn.tə.ti/,14125,The Loch Ness Monster is a famous mythical entity.,ネッシーは有名な神話上の存在です。,2998187
,,,ex,前の；前…；外へ；完全に,/ɛks/,14605,I need to exfoliate my skin before applying makeup.,メイクをする前に、肌の角質を取り除く必要があります。,2998301
,,,sphere,"球,球体,球面  / (惑星・星などの)天体;天球;《詞》天,空  / (知識・活動・影響などの)範囲,領域《+of+名》  / (社会的)地位,階級",/sfɪər/,40292,The Earth is a sphere.,地球は球体です。,3004996
,,,explicit,明白に述べた,/ɪkˈsplɪsɪt/,14844,He made his intentions explicit.,彼は自分の意図を明白に述べた。,1656767
,,,stance,"態度,立場  / スタンス(ゴルフ・野球などで打球のときの足の位置)",/stæns/,40711,His stance on the issue is clear.,彼の態度は明確です。,3005030
,,,fetal,胎児の,/ˈfiːtəl/,15542,The doctor performed an ultrasound to check the fetal development.,医師は胎児の発育をチェックするために超音波検査を実施した。,1629413
,,,stripe,"筋,しま  / 《複数形で》(軍服のそでにつける)記章,そで章(階級・勤続年数などを表す)  / むち打ち",/stɹaɪp/,41331,The national flag of the USA is called the Stars and Stripes.,合衆国の国旗は星条旗と呼ばれる。,87213
,,,flexibility,"柔軟性,しなやかさ;適応性,融通性",/flɛksəˈbɪləti/,16122,Flexibility is important in adapting to new situations.,新しい状況に適応するためには柔軟性が重要です。,2998727
,,,subset,(一組・一団などの一部を成す)小さな一組  / (数学の集合論で)部分集合,/ˈsʌbˌsɛt/,41541,The set A is a subset of set B.,集合Aは集合Bの部分集合です。,1629414
,,,syllable,"音節,シラブル  / 《通例否定語と共に用いて》一言,一語",/sɪləbəl/,42203,Each word in English is made up of one or more syllables.,英語の各単語は1つ以上の音節で構成されています。,3005433
,,,tempt,"〈他〉(無分別・悪事などに)〈人〉を誘惑する, をそそのかす / ...をそそる, ...の気を引く",/tɛmpt/,42806,The sunshine tempted people out.,太陽の日差しに誘われて人々が外出した。,53929
,,,thickness,"〈U〉〈C〉厚さ,太さ,濃さ,密集,繁茂  / 〈C〉層,重ね(layer)",/ˈθɪknəs/,43117,The thickness of the paper is important for printing.,紙の厚さは印刷に重要です。,1659561
,,,thumb,親指;(手袋などの)親指の部分,/θʌm/,43280,He sucked his thumb when he was a child.,彼は子供の頃、親指をしゃぶっていました。,3005785
,,,translation,"〈U〉訳すこと,翻訳  / 〈C〉翻訳されたもの",/trænˈsleɪʃən/,44026,Translation is the process of converting text from one language to another.,訳すことは、テキストを一つの言語から別の言語に変換するプロセスです。,3005916
,,,trauma,"【名/U/C】外傷 / 精神的外傷, トラウマ",/ˈtrɔːmə/,44090,She experienced a traumatic event that left a lasting impact on her.,彼女はトラウマを経験し、それが彼女に長い影響を与えました。,1662465
,,,tropical,"熱帯の,熱帯性の,熱帯産の  / 酷暑の",/'tɹɒpɪkəl/,44336,I love exploring tropical destinations.,私は熱帯地域を探検するのが大好きです。,3005984
,,,hormone,ホルモン,/hɔrˈmoʊn/,20345,Hormones play a crucial role in regulating various bodily functions.,ホルモンはさまざまな体の機能を調節する上で重要な役割を果たしています。,2999806
,,,unify,"〈他〉...を統一する /〈自〉一つになる, 一体化する",/juː.nɪ.faɪ/,45219,The goal of this project is to unify all the different systems into one platform.,このプロジェクトの目標は、異なるシステムを統一した一つのプラットフォームにすることです。,1629412
,,,hydrogen,水素(化学記号はH),/ˈhaɪdrədʒən/,20743,Hydrogen is the lightest and most abundant element in the universe.,水素は宇宙で最も軽く、最も豊富な元素です。,2999912
,,,usage,"〈U〉(物の)用い方, 用法 / 〈U〉〈C〉(言語の)慣用, 語法",/ˈjuːsɪdʒ/,45676,I need help with the usage of this software.,このソフトウェアの使い方について助けが必要です。,3006317
,,,importantly,より（最も）重要なことには；もったいぶって,/ɪmˈpɔːrtəntli/,21230,"Importantly, she emphasized the need for teamwork in achieving the company's goals.",重要なことには、彼女は会社の目標を達成するためにチームワークの必要性を強調しました。,3000035
,,,variant,"(同種のものと)異なった,別の  / 異形;(同じ単語の)異なったつづり(発音など)",/'vɛəriənt/,45873,The variant of the virus is spreading rapidly.,ウイルスの変異種が急速に広がっています。,1665389
,,,vector,"(数学で)ベクトル,方向量  / (ハエ・カなどの)病原媒介昆虫  / (飛行機,ミサイルなどの)脱路,軌道",/'vɛktər/,45921,I learned about vector in my math class.,数学の授業でベクトルについて学びました。,1661593
,,,vegetation,"(ある地域の)植物  / 《集合的に》植物,草木",/vɛdʒɪˈteɪʃən/,45937,The dense vegetation in the rainforest provides a habitat for a wide variety of animals.,熱帯雨林の密集した植生は、さまざまな動物の生息地を提供しています。,1641750
,,,indigenous,"固有の,土着の,生まれながらの",/ɪnˈdɪʤənəs/,21611,The indigenous people of the region have a deep connection to their ancestral lands and traditions.,この地域の先住民は、先祖代々の土地や伝統と深いつながりをもっています。,1627334
,,,independently,"独立して,単独で",/ˌɪndɪˈpɛndəntli/,21568,She decided to live independently after graduating from college.,彼女は大学を卒業した後、独立して生活することを決めました。,3000114
,,,industrialize,"…‘を'産業化する,工業化する",/ɪnˈdʌstriəˌlaɪz/,21699,Many countries have industrialized their economies to boost growth and development.,多くの国々は成長と発展を促進するために経済を産業化してきています。,1656780
,,,solvent,"溶剤,溶媒 ,解決策",/'sɒlvənt/,39901,"However, these solvents were identified as carcinogenic.",しかしながら、これらの溶剤は発がん性が指摘された。,582
,,,optimum,"【形】最適の,最高の【名/C】最適の条件",/ˈɒptɪməm/,29702,The optimum temperature for this experiment is 25 degrees Celsius.,この実験の最適な温度は摂氏25度です。,1627948
,,,molecular,"分子の,分子による",/məˈlɛkjələr/,27316,Molecular biology is the study of biological molecules and their interactions.,分子生物学は生物分子とその相互作用の研究です。,1643329
,,,neural,神経[系統]の,/'nʊrəl/,28422,The neural network model is used in various fields such as image recognition and natural language processing.,ニューラルネットワークモデルは画像認識や自然言語処理などさまざまな分野で利用されています。,1665256
,,,noisy,"(人・声などが) やかましい,騒々しい",/'nɔɪzi/,28739,The party next door was so noisy that I couldn't concentrate on my work.,隣のパーティーがとてもやかましくて、仕事に集中できませんでした。,3001967
,,,onwards,前方へ（=[[onward]]）,/ˈɒnwədz/,29585,"From now onwards, I will focus on my studies.",今後、私は勉強に集中します。,1657020
,,,optimal,"{[形]}最適の,最高の{[名/C]}最適の条件 / =optimum",/ˈɒptɪməl/,29697,Finding the optimal solution requires careful analysis.,最適解を見つけるには、慎重な分析が必要だ。,3002242
,,,oxygen,〈U〉酸素 (化学記号はO),/ˈɑksɪdʒən/,30236,Oxygen is needed for combustion.,火が燃えるには酸素がいる。,98882
,,,acidic,"【形】酸味のある,すっぱい；酸性の",/əˈsɪdɪk/,48300,The orange juice tasted acidic.,オレンジジュースは酸味があった。,3006987
,,,poster,"ポスター,びら",/'poʊstər/,32785,I have a poster of my favorite band in my room.,部屋に自分の好きなバンドのポスターを持っている。,1623673
,,,psychologist,心理学者,/saɪˈkɒlədʒɪst/,33910,The psychologist conducted a series of experiments to study human behavior.,心理学者は人間の行動を研究するために一連の実験を行った。,3003286
,,,quantum,量子,/'kwɑntəm/,34334,Quantum mechanics is a branch of physics that studies the behavior of particles at the atomic and subatomic levels.,量子力学は、原子や亜原子レベルでの粒子の振る舞いを研究する物理学の一分野です。,1664543
,,,residue,"【名/U/C】残り,残余 / 残留物",/ˈrɛzɪˌdjuː/,35779,"After cooking the chicken, there was a residue of oil in the pan.",鶏肉を調理した後、フライパンに油の残りがありました。,1660550
,,,respiratory,"呼吸の,呼吸作用の,呼吸のための",/rɪˈspɪrəˌtɔːri/,35827,She has a respiratory infection.,彼女は呼吸器感染症を持っています。,1651073
,,,container,"〈C〉容器 , 入れ物 / (貨物輸送用の)コンテナ",/kənˈteɪnər/,9167,I packed my lunch in a container.,私はランチを容器に詰めました。,1630644
,,,emission,"〈U/C〉(光・熱・液体などの)放射,放出 / 〈C〉放射物,放出物",/ɪˈmɪʃən/,13823,The emission of greenhouse gases is a major concern for environmentalists.,温室効果ガスの排出は環境保護主義者にとって重大な関心事です。,1629265
,,,semantic,(言語の)意味に関する;意味論の,/səˈmæntɪk/,38026,The semantic meaning of this word is unclear.,この単語の意味は意味論的には不明です。,3004326
,,,finite,"限りある, 有限の",/fʌɪnaɪt/,15788,The resources are finite.,資源は有限です。,1627880
,,,solute,【名/C】(化学で)溶質 / 【形】溶解した,/'sɒljuːt/,39895,"In this experiment, the salt is the solute, and the water is the solvent.",この実験では、塩が溶質で、水が溶媒です。,1017016
,,,statistical,"統計の,統計学上の",/stəˈtɪstɪkəl/,40826,Statistical analysis is used to interpret data and draw conclusions.,統計分析はデータを解釈し、結論を導くために使用されます。,3005057
,,,tumor,"〈C〉はれもの,できもの,腫瘍",/ˈtjuːmər/,44490,He was diagnosed with a brain tumor.,彼は脳腫瘍と診断されました。,1650229
,,,vitamin,"ビタミン,栄養素(身体の喜常な機能を維持するために少量ながら必要な有機化合物)",/'vɪtəmɪn/,46351,I take a vitamin supplement every morning.,毎朝、ビタミンのサプリメントを摂取しています。,3006463
,,,ritual,"〈U〉〈C〉儀式 / (社会的慣習としての)礼儀,作法",/ˈrɪtʃuəl/,36258,The wedding ceremony is a beautiful ritual.,結婚式は美しい儀式です。,3003905
,,,statistically,【副】統計的に；統計（学）上,/stəˈtɪstɪkli/,48309,"Statistically, women live longer than men.",統計的に、女性の方が男性よりも長生きします。,1638371
,,,regime,"〈C〉政権,政府 / 政治体制 / 制度",/ɹɪˈʒiːm/,35392,The new regime implemented strict policies to maintain control.,新政権は厳しい政策を実施して統制を維持した。,3003640
,,,straightforward,"わかりやすい,簡単な / 正直な,率直な / まっすぐに進む",/stɹeɪtfɔːɹwəd/,41205,She gave a straightforward explanation of the process.,彼女はその経緯をわかりやすく説明してくれました。,1622995
,,,continuity,"【名/U】連続性, 一貫性 / （映画などの）撮影用台本, コンテ / 【名/C】コンテに書かれた個々の指示",/kɒn.tɪ.nuˈɪ.ti/,9220,There is no continuity between the three parts of the book.,この本の3つの章の間には、連続性がありません。,1017203
,,,widespread,"広範囲にわたる,行き渡った,普及している / （翼など）広げた",/ˈwaɪdspɹɛd/,47430,The COVID-19 pandemic has had a widespread impact on the global economy.,COVID-19パンデミックは世界経済に広範囲な影響を与えています。,3006731
,,,molecule,分子《略》mol)  / (一般に)(…の)微量《+of+名》,/mɒˈlɛkjuːl/,27317,Water is a molecule composed of two hydrogen atoms and one oxygen atom.,水は、2つの水素原子と1つの酸素原子から構成される分子です。,3001584
,,,acid,"酸性の  / 酸味のある,すっぱい(sour)  / (言葉・態度などが)厳しい,しんらつな  / 酸  / すっぱいもの  / 《俗》=LSD",/'æsɪd/,365,The solution turned red because it was acid.,その溶液は酸性だったので赤くなった。,2995713
,,,altitude,〈U〉高さ / 〈C〉標高 / 海抜 /高い地位 / 〈U/C〉高度,/ˈæltɪtjuːd/,1233,The altitude of this mountain is quite high.,この山の高度はかなり高いです。,2995989
,,,antiquity,"【名/U】古代 / 古代人 / 古さ, 古風 / 【名/C】《複数形で》古代の遺物",/ænˈtɪkwəti/,1776,"In antiquity, humans [[managed to|manage to]] survive without electricity.",古代、人類は電気がなくても生きていくことができました。,1017204
,,,approximate,近似の　,/əˈprɑksəmət/,1987,The approximate time of arrival is around 3 pm.,到着のおおよその時間は午後3時頃です。,2996183
,,,artificial,"人工の, 人造の / 模造の / 不自然な,見せかけの",/ˌɑːr.tɪˈfɪʃ.əl/,2286,The artificial intelligence industry is rapidly growing.,人工知能産業は急速に成長しています。,2996249
,,,artistic,"芸術的な  / 芸術(美術)の;芸術家(美術家)の  / 美的感受性に富む,美のわかる",/ɑrˈtɪstɪk/,2295,The artistic design of the building is truly breathtaking.,その建物の芸術的なデザインは本当に息をのむほどです。,2996254
,,,aspect,側面、観点、様相,/ˈæs.pɛkt/,2355,This new product outperforms the old model in every aspect.,この新製品は、あらゆる点で旧型よりも優れている。,1627858
,,,breakdown,"〈C〉故障,衰弱,分析",/ˈbreɪkdaʊn/,5136,My car had a breakdown on the way to work.,私の車は仕事の途中で故障しました。,3008988
,,,broadly,"広く,あまねく  / 明白に;露骨に  / 大まかに",/ˈbrɔːdli/,5302,She has a broadly diverse range of interests.,彼女は広く多様な興味を持っています。,3009035
,,,bucket,"バケツ,手おけ;(井戸の)つるべ  / バケツ状の物;(水車・タービンなどの)水受け;(ポンプの)吸い子  / バケツ1杯(の…)(bucketful)《+of+名》",/ˈbʌkɪt/,5440,The man filled a bucket with water.,男はバケツに水を満たした。,1624047
,,,calculator,計算者  / 計算器機(=calculating machine),/ˈkæl.kjə.leɪ.tər/,5958,Using a calculator is an expedient way to solve complex math problems.,電卓を使うことは複雑な数学の問題を解くための便利な方法です。,1628790
,,,calculus,〈C〉(腎臓内などにできる)結石  / 〈U〉微積分学,/'kælkjələs/,5960,I had to undergo surgery to remove a calculus from my kidney.,私は腎臓から結石を取り除く手術を受ける必要がありました。,3009194
,,,maternal,"母らしい, 母の, 母性の / 母方の",/məˈtɜːrnəl/,26100,She has a maternal instinct and takes care of everyone like a mother.,彼女は母性本能があり、母のようにみんなの世話をします。,3001268
,,,characterization,"【名/U】(小説や劇中の)人物[性格]描写,人物表現；特性,特性評価；特徴の説明",/ˌkæɹ.ək.təɹ.əˈzeɪ.ʃən/,7066,The author's characterization of the protagonist is incredibly detailed and nuanced.,作者の主人公の描写は非常に詳細で微妙です。,1657625
,,,chemistry,"〈U〉化学 / 化学的性質,化学反応,化学作用",/tʃɛmɪstri/,7200,I am studying chemistry at university.,私は大学で化学を勉強しています。,3009425
,,,cheers,(健康を祝して)乾杯  / ありがとう  / (特に電話で)ではまた,/tʃɪərz/,7181,Cheers to good health!,健康を祝して乾杯！,3009420
,,,chunk,"(…の)厚切り,厚いかたまり《+of+名》  / かなりの量(額,部分)",/tʃʌŋk/,7535,I ordered a chunk of steak for dinner.,夕食に厚切りのステーキを注文しました。,1659099
,,,cinema,〈C〉映画館 / 《the ~》映画産業 / 《集合的に》映画,/sɪˈnɛmə/,7590,I'm going to the cinema tonight.,今夜は映画館に行くつもりです。,1624083
,,,circulation,"〈U〉血液の循環,血行  / 〈U〉(貨幣の)流通;(情報・うわさなどの)流布伝達;(新聞・雑誌など,印刷物の)配布  / 〈C〉(新聞・雑誌などの)発行部数",/sɜːr.kjʊˈleɪ.ʃən/,7622,The circulation of blood is essential for maintaining good health.,血液の循環は健康を維持するために不可欠です。,3009499
,,,clay,"粘土;泥土  / (聖書で,人間の肉体が造られているとされる)土",/ kleɪ /,7795,She molded the clay into a beautiful sculpture.,彼女は粘土を美しい彫刻に形作った。,1642128
,,,clever,"リコウな,頭のよい,才気のある,気のきいた  / 器用な,じょうずな(skillful)",/ˈklɛvər/,7854,He is a clever boy.,彼は賢い少年だ。,1624089
,,,complement,"(あるものを完全にするため)(…を)補う物(事)《+of+名》  / 補語(文法で文の成分の一つ)  / (必要な)全数,全量;(船の)定員",/'kɒmplɪmənt/,8670,Eating a balanced diet is the complement of a healthy lifestyle.,バランスの取れた食事は健康的な生活を補完します。,3009708
,,,commonly,"一般に, 通例, 普通 / 俗に,下品に",/ˈkɑːmənli/,8565,"Commonly, people prefer to eat healthy food.",一般的に、人々は健康的な食べ物を好む。,3009673
,,,communist,共産主義者  / 《しばしばC-》共産党員  / 共産主義[者]の;《しばしばC-》共産党の,/kɒmjənɪst/,8592,He is a dedicated communist.,彼は献身的な共産主義者です。,1636660
,,,conditional,"条件つきの,暫定的な  / (文法で)条件を表す  / (文法で)条件文(節)",/kənˈdɪʃənəl/,8853,The approval is conditional upon meeting all the requirements.,承認はすべての要件を満たすことを条件としています。,1632969
,,,cone,"円すい,円すい形  / 円すい形のもの  / 球果(松かさなど)・暴風警報球.",/kəʊn/,8873,I ate an ice cream cone.,私はアイスクリームの円すいを食べました。,3009768
,,,constrain,"【動/他】強いる,抑制する",/kənˈstreɪn/,9126,We need to constrain our spending in order to save money.,お金を節約するために、支出を制限する必要があります。,3009823
,,,contradiction,"否定,反ばく  / 矛盾",/kɒntrəˈdɪkʃən/,9245,There is a contradiction in his statement.,彼の発言には矛盾がある。,3009862
,,,demonstrator,立証者  / 実演する人  / デモ参加者,/dɪˈmɒn.str.eɪ.tər/,11340,The demonstrator provided evidence to support their claims.,立証者は自分たちの主張を裏付ける証拠を提供しました。,2997453
